id,shortname,name,party,active,education,birthdate,occupation,current_jobs,jobs,commissions,mandates,awards,url,scrape_date
4204,António Cabeleira,Nome Completo,PSD,False,Licenciatura em Arquitectura Paisagista; Curso de Pós-Graduação em Extensão e Desenvolvimento Rural pela UTAD,Data de Nascimento,Técnico Superior da Administração Pública,Deputado na XI Legislatura; Vereador da Câmara Municipal de Chaves,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4204,2014-11-18T23:07:33.145985
4205,Isabel Sequeira,Nome Completo,PSD,False,Licenciatura em Economia,Data de Nascimento,Inspector Tributário,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4205,2014-11-18T23:07:33.260132
4208,Acácio Pinto,Nome Completo,PS,True,Licenciatura em Direito (2012); Mestrado em Geografia - Ordenamento do Território e Desenvolvimento (2003); Licenciatura em Geografia (1992); Curso do Magistério Primário (1979),Data de Nascimento,Professor do Ensino Secundário,"Deputado na XII Legislatura; Presidente da assembleia intermunicipal ""Viseu Dão Lafões"" 2013-2017; Deputado da assembleia municipal de Sátão 2013-2017",Professor primeiro ciclo; Professor do ensino secundário; Coordenador adjunto do CAE de Viseu; Chefe Gabinete Secretario Estado Administração Marítima e Portuária; Presidente da CDT de Viseu; Professor adjunto no ensino superior; Governador Civil de Viseu; Deputado na XI Legislatura,"Comissão de Economia e Obras Públicas [Suplente]; Comissão de Agricultura e Mar [Suplente]; Comissão de Educação, Ciência e Cultura [Coordenador GP;Vice-Presidente]; Grupo de Trabalho - Turismo",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4208,2014-11-18T23:07:33.442017
4209,Elza Pais,Nome Completo,PS,True,Licenciatura em Sociologia; Mestrado em Sociologia; Frequência  de Doutoramento em Sociologia,Data de Nascimento,Socióloga - Docente Universitária,"Investigadora no  Centro de Estudo Sociais (SociNova),da Faculadade de Ciências Sociais e Humanas da Universidade Nova de Lisboa - FCSH-UNL.",Secretária de Estado da Igualdade no XVIII Governo Constitucional;; Presidente da Comissão para a Cidadania e Igualdade de Géneto (CIG);; Coordenadora da Estrutura de Missão contra a Violência Doméstica;; Coordenadora Nacional do Ano Europeu da Igualdade de Oportunidades para Todos (2007);; Presidente do Instituto Português da Droga e da Toxicodependência;; Alta Comissária do Projecto Vida;; Docente na Universidade Católica Portuguesa e no Instituto Superior de Serviço Social de Lisboa.,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias [Suplente]; Comissão de Educação, Ciência e Cultura [Relator Temático - Relator Temático - Ciência]; Comissão de Saúde [Suplente]; Grupo de Trabalho - Álcool e Toxicodependência; Grupo de Trabalho - Procriação Medicamente Assistida (PJL 131-PS e 138-PSD); Subcomissão de Igualdade [Presidente]",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4209,2014-11-18T23:07:33.567182
4210,José Rui Cruz,Nome Completo,PS,False,Licenciatura em Enfermagem,Data de Nascimento,Enfermeiro,Vice-presidente do Centro Social e Paroquial de S. Joaninho.; Presidente da Assembleia Geral do Clube Recreativo de S.Joaninho.; Presidente da Assembleia Geral da Casa do Sporting de Santa Comba Dão.; Membro do Conselho Geral do Instituto Politécnico de Viseu,Delegado Regional do IPJ/ Viseu(Agosto de 2005 a Agosto de 2007); Subdirector Regional do Centro do IPJ. IP (Agosto 2007 a 14 de Outubro 2009); Vice-presidente do Centro Social e Paroquial de S. Joaninho.,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4210,2014-11-18T23:07:33.681632
4211,Maria Helena Rebelo,Nome Completo,PS,False,Licenciatura em Enfermagem,Data de Nascimento,Enfermeira,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4211,2014-11-18T23:07:33.798927
4213,Teresa Costa Santos,Nome Completo,PSD,True,Licenciatura em Gestão de Empresas,Data de Nascimento,Gestora/Tec.Superior,Deputada na XII Legislatura; Membro da Assembleia Municipal da Câmara Municipal de Lamego; Presidente da Mesa da Assembleia de Secção do PSD Lamego,"Quadro Superior do Nucleo de Gestão-IEFP; Directora do Centro de Emprego de Lamego ; Vereadora em regime de permanência da Câmara Municipal de Lamego; Presidente do Conselho de Administração da LamegoConvida-Gestão de Equipamentos Municipais,EEM; Vereadora em regime de não permanência da Câmara Municipal de Lamego; Vogal da Comissão Politica do PSD Lamego","Comissão de Agricultura e Mar [Suplente]; Comissão de Segurança Social e Trabalho; Comissão para a Ética, a Cidadania e a Comunicação [Suplente]",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4213,2014-11-18T23:07:33.948788
4214,João Figueiredo,Nome Completo,PSD,True,Licenciatura em Comunicação Social,Data de Nascimento,Tecnico Superior do IEFP,Deputado; Presidente da Junta de Freguesia de Canas de Santa Maria; Vice-Presidente da Direcção da ADERETON- Associação de Desenvolvimento da Região de Tondela;; Presidente da Assembleia Geral da Delegação Distrital de Viseu da ANAFRE; Presidente da Comissão Politica de Secção de Tondela do PSD; Lider Parlamentar do PSD na Assembleia Municipal de Tondela; Presidente da Assembleia Geral da Casa do Benfica de Tondela,Técnico de Emprego do IEFP até 2001;; 	; Técnico Superior do IEFP;;  Director do Centro de Emprego de Tondela entre Outubro de 2002 e Outubro de 2005;; Director da Escola Profissional de Tondela(EPT) entre Outubro 2005 e Outubro 2009;; Membro da Assembleia Municipal de Tondela;; Secretário do Centro Paroquial de Canas de Santa Maria;; Presidente da Associação de Pais e Encarregados de Educação do Agrupamento de Tondela;; Presidente do Conselho Fiscal da ADICES (em representação da EPT);; Presidente da Associação de Moradores de Santa Ovaia de Cima,"Comissão de Segurança Social e Trabalho; Comissão do Ambiente, Ordenamento do Território e Poder Local [Suplente]; Comissão para a Ética, a Cidadania e a Comunicação [Suplente]; Grupo de Trabalho - Estabelece o regime de acesso e exercício da atividade de artista tauromáquico e de auxiliar de espetáculo tauromáquico  (PPL-209-GOV) [Coordenador ]",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4214,2014-11-18T23:07:34.075790
4219,Bernardo Trindade,Nome Completo,PS,False,Licenciatura em Economia,Data de Nascimento,Economista,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4219,2014-11-18T23:07:34.295049
4220,Luís Miguel França,Nome Completo,PS,False,Frequência  de 1º Ciclo; frequencia universitária,Data de Nascimento,jornalista,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4220,2014-11-18T23:07:34.411325
4221,Vânia Jesus,Nome Completo,PSD,False,,Data de Nascimento,,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4221,2014-11-18T23:07:34.523104
4223,Francisco Gomes,Nome Completo,PSD,True,1º Ciclo; 2º Ciclo; 3º Ciclo; Ensino Secundário; Licenciatura em CIÊNCIA POLÍTICA; Mestrado em CIÊNCIA POLÍTICA; Frequência  de Doutoramento em CIÊNCIA POLÍTICA,Data de Nascimento,FUNCIONÁRIO PÚBLICO,"- Presidente da Direcção do Clube Amigos do Basquete; - Presidente do Conselho de Administração do Clube Amigos do Basauete, SAD",,Comissão de Assuntos Europeus [Suplente],,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4223,2014-11-18T23:07:34.749329
4225,José Manuel Rodrigues,Nome Completo,CDS-PP,False,,Data de Nascimento,,Deputado a Assembleia da Republica na XI Legislatura; Presidente do Congresso do CDS-PP; Jornalista,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4225,2014-11-18T23:07:34.895244
4289,Teresa Anjinho,Nome Completo,CDS-PP,True,Licenciatura em Direito; Mestrado em Direitos Humanos (EMA),Data de Nascimento,Jurista,,,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias; Comissão de Negócios Estrangeiros e Comunidades Portuguesas [Suplente]; Comissão Parlamentar de Inquérito à gestão do BES e do Grupo Espírito Santo; Grupo de Trabalho - Audição de Peticionantes; Grupo de Trabalho - Implicações Legislativas da Convenção de Istambul; Grupo de Trabalho - Co-adoção [PJL 278/XII/1.ª (PS)]; Subcomissão de Igualdade",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4289,2014-11-18T23:07:36.844556
4290,Helena André,Nome Completo,PS,False,,Data de Nascimento,,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4290,2014-11-18T23:07:36.979516
4293,Carlos Moedas,Nome Completo,PSD,False,1º Ciclo; 2º Ciclo; 3º Ciclo; Ensino Secundário; Licenciatura em Engenharia Civil; Mestrado em MBA - Master in Business Administration,Data de Nascimento,Engenheiro Civil,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4293,2014-11-18T23:07:37.154640
4294,Mário Simões,Nome Completo,PSD,True,Frequência  de Licenciatura em Direito ( 4º Ano ); Formação em Comunicação Empresarial,Data de Nascimento,Consultor / Empresário,"Vereador no Municipio de Alvito; Vogal da Comissão Politica Nacional dos Autarcas Social Democratas- ASD; Presidente da Comissão Politica Distrital do PSD Beja; Membro do Conselho Nacional do Partido Social Democrata; Secretário Geral da Associação Cultural ""António Inverno, Movimento Cultural""",Presidente da Comissão Politica Distrital da JSD Beja; Vogal da Comissão Politica Nacional da Juventude Social Democrata; Vice-Presidente da Mesa do Congresso Nacional da JSD; Vice-Presidente da Comissão Politica Distrital do PSD Beja; Presidente da Comissão Politica Concelhia de Alvito; Membro da Assembleia de Freguesia do Salvador - Beja,Comissão de Defesa Nacional; Comissão de Agricultura e Mar; Comissão de Segurança Social e Trabalho [Suplente],,Comendador da ordem de São Miguel da Ala,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4294,2014-11-18T23:07:37.273285
4296,Otília Ferreira Gomes,Nome Completo,CDS-PP,False,Licenciatura em Direito,Data de Nascimento,Advogada,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4296,2014-11-18T23:07:37.417122
4297,Carla Cruz,Nome Completo,PCP,True,Licenciatura em Psicologia,Data de Nascimento,Psicóloga,,,Comissão de Negócios Estrangeiros e Comunidades Portuguesas [Coordenador GP]; Comissão de Assuntos Europeus [Coordenador GP]; Comissão de Saúde [Suplente]; Grupo de Trabalho - Acompanhamento da Problemática do VIH-Sida; Grupo de Trabalho - Plano de Atividades; Grupo de Trabalho - Audiências - 12ª CPECC; Grupo de Trabalho - Petições - 12ª CPECC; Grupo de Trabalho - Código da Publicidade (PJL-193-PEV - PJL-195-PS),,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4297,2014-11-18T23:07:37.539031
4299,Clara Marques Mendes,Nome Completo,PSD,True,Licenciatura em Direito,Data de Nascimento,Advogada,Deputada Municipal na Assembleia Municipal de Fafe,,"Comissão de Segurança Social e Trabalho; Comissão para a Ética, a Cidadania e a Comunicação; X Comissão Parlamentar de Inquérito à Tragédia de Camarate; Comissão Parlamentar de Inquérito à gestão do BES e do Grupo Espírito Santo",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4299,2014-11-18T23:07:37.682114
4300,Hugo Lopes Soares,Nome Completo,PSD,True,Licenciatura em Direito; Frequência  de Mestrado em Direito das Autarquias Locais,Data de Nascimento,Advogado,,,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias; Comissão de Educação, Ciência e Cultura [Suplente]; Comissão Eventual para a Revisão Constitucional; Grupo de Trabalho - Acompanhamento da Aplicação das Medidas Políticas e Legislativas de Combate à Corrupção [Coordenador ]",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4300,2014-11-18T23:07:37.802921
4304,Bruno Coimbra,Nome Completo,PSD,True,Licenciatura em Engenharia do Ambiente,Data de Nascimento,Engenheiro do Ambiente,"Deputado à Assembleia da República - GPPSD; Vice-Coordenador do GPPSD na Comissão de Ambiente, Ordenamento do Território e Poder Local; Membro da Assembleia Municipal da Mealhada;; Membro da Assembleia Intermunicipal do Baixo Mondego;","Director Técnico da Hidromaster - Conservação de Superfícies, Lda;; Director Geral da Pragosa Ambiente, S.A. - Grupo Pragosa;; Director Técnico da TRIU, S.A. - Grupo SUMA;; Director de Operações da Recolte, S.A.- Grupo Teixeira Duarte;; Secretário Geral da Comissão Política Nacional da JSD;; Presidente da Comissão Política Regional de Aveiro da JSD;; Secretário Geral da Comissão Política Regional de Aveiro da JSD;; Conselheiro Nacional do PSD; Membro da Assembleia Distrital do PSD Aveiro;; Presidente da Comissão Política Concelhia da JSD Mealhada;; Presidente da Mesa do Plenário de Militantes da JSD Mealhada;","Comissão de Assuntos Europeus [Suplente]; Comissão do Ambiente, Ordenamento do Território e Poder Local",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4304,2014-11-18T23:07:38.004648
4306,Isabel Simões Pinto,Nome Completo,PSD,False,Licenciatura em Serviço Social; Pós-Graduação em Psicologia da Infância e Adolescência; Formação e Terapia Familiar,Data de Nascimento,Assistente Social,Vogal da Comissão Politica do PSD da Secção de Estarreja; Membro da Assembleia Municipal de Estarreja; Vice-Presidente da Mesa da Assembleia Geral da APPACDM de Albergaria-a-Velha,"Chefe de Divisão de Educação, Ação Social e Cultura do Município de Albergaria-a-Velha",,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4306,2014-11-18T23:07:38.159375
4310,Francisco José Viegas,Nome Completo,PSD,False,Licenciatura em Estudos Portugueses,Data de Nascimento,Editor,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4310,2014-11-18T23:07:38.370897
4311,Maria José Moreno,Nome Completo,PSD,True,Licenciatura em Licenciatura em Direito (U. C.); Pós Graduação em Gestão e Economia do Turismo  (F. E. P.) .,Data de Nascimento,Advogada,,"Desempenhou  funções  na Ordem dos Advogados, pela Comarca de Macedo de Cavaleiros (Concelho Distrital do Porto)",Comissão de Negócios Estrangeiros e Comunidades Portuguesas; Comissão de Agricultura e Mar,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4311,2014-11-18T23:07:38.487996
4313,Nuno Mocinha,Nome Completo,PS,False,Licenciatura em Economia,Data de Nascimento,Economista,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4313,2014-11-18T23:07:38.704961
4317,Paulo Almeida,Nome Completo,CDS-PP,True,Mestrado em Direito,Data de Nascimento,Advogado,"gerente sem remuneração da sociedade comercial por quotas Worldadviser, Lda",,"Comissão de Saúde [Suplente]; Comissão para a Ética, a Cidadania e a Comunicação; Grupo de Trabalho - Registo de Interesses",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4317,2014-11-18T23:07:38.908875
4318,Nuno Serra,Nome Completo,PSD,True,Licenciatura em Engenharia e Gestão Industrial; Master Business Administration,Data de Nascimento,Consultor,,,"Comissão de Orçamento, Finanças e Administração Pública [Suplente]; Comissão de Economia e Obras Públicas; Comissão de Agricultura e Mar; Comissão Parlamentar de Inquérito aos Programas Relativos à Aquisição de Equipamentos Militares (EH-101, P-3 Orion, C-295, torpedos, F-16, submarinos, Pandur II)",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4318,2014-11-18T23:07:39.028803
4319,Mário Ruivo,Nome Completo,PS,True,Licenciatura em Direito,Data de Nascimento,Advogado,,,Comissão de Saúde [Suplente]; Comissão de Segurança Social e Trabalho [Vice-Presidente],,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4319,2014-11-18T23:07:39.148761
4321,Rui Pedro Duarte,Nome Completo,PS,True,Licenciatura em Ciência Política e Relações Internacionais,Data de Nascimento,Ciência Política e Relações Internacionais,Vereador da Câmara Municipal de Coimbra  2009 - 2013; Membro da Direção do Fórum Europeu de Juventude 2011 - 2013,"¿ Membro da Direção do Conselho Nacional de Juventude, 2008 - 2011;; ¿ Funções de Secretário-Geral do Fórum de Juventude da CPLP 2010/2011;; ¿ Membro Fundador e Vogal responsável pelas Relações Internacionais do Espaço Ibero-americano de Juventude, 2009/2011; ; ¿Membro da Delegação Oficial de Portugal à 64ª Sessão da Assembleia Geral das Nações Unidas;; ¿ Membro da Delegação Oficial de Portugal à 47ª Sessão da Comissão de Desenvolvimento Social (CsoD) da Organização das Nações Unidas;","Comissão de Assuntos Europeus [Suplente]; Comissão de Agricultura e Mar [Suplente]; Comissão de Educação, Ciência e Cultura [Relator Temático - Relator Temático - Avaliação Tecnológica Parlamentar]; Grupo de Trabalho - Indisciplina em meio escolar [Coordenador ]; Grupo de Trabalho - Alteração à Lei nº 108/91, de 17 de Agosto, que regula o Conselho Económico e Social (PJL-363-PS, 383-PEV, 384-PEV, 385-PEV, 388-PSD, 484-PS, 488-BE, 491-PSD e 492-PS)",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4321,2014-11-18T23:07:39.292554
4322,Isilda Aguincha,Nome Completo,PSD,True,Licenciatura em Informática de Gestão; Mestrado em Ciências da Educação - Tecnologias da Informação e Comunicação e Educação; Especialização em Gestão e Animação de Centros de Recursos Educativos,Data de Nascimento,Professora,Vereadora (sem pelouros) da Câmara Municipal do Entroncamento; Presidente do Conselho Fiscal do CERE - Centro de Ensino e Recuperação do Entroncamento,Presidente da Assembleia da Comunidade Intermunicipal do Médio Tejo; Presidente da Assembleia Municipal do Entroncamento; Adjunta do Director da Escola Secundária com 3º Ciclo do Entroncamento; Eleita à Assembleia Municipal do Entroncamento; Vice-presidente da Assembleia da Comunidade Intermunicipal do Médio Tejo; Vice-presidente da Assembleia da Comunidade Urbana do Médio Tejo,"Comissão de Educação, Ciência e Cultura [Coordenador GP]; Comissão de Segurança Social e Trabalho [Suplente]",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4322,2014-11-18T23:07:39.419036
4325,José Manuel Canavarro,Nome Completo,PSD,True,Doutoramento em Psicologia Social,Data de Nascimento,Professor Universitário,"Consultor do BANCO MONTEPIO GERAL CAIXA ECONÓMICA - Programa de Educação Financeira; Membro do Conselho Estratégico da  JP Sá Couto - área internacional.; Vogal do Conselho Técnico-Científico do ISCE (pro-bono); Fellow do Education Impact (pro-bono); Director da Revista ""Educação e Emprego"" (pro-bono); Consultor e Formador nas áreas da Gestão de Recursos Humanos e da Educação","Professor da Faculdade de Psicologia e de Ciências da Educação da Univ. Coimbra.; Assessor do Presidente da Comissão de Coordenação da Região Centro.; Bolseiro da JNICT e da Fundação Calouste Gulbenkian (1995-1997), para Doutoramento na State University of New York ¿ at Albany.; Delegado Regional do Instituto de Emprego e Formação Profissional ¿ Região Centro; Conselheiro Nacional de Educação.; Secretário de Estado Adjunto e da Administração Educativa ; Presidente da Assembleia Municipal do Carregal do Sal.; Professor Convidado da Escola Superior de Educação João de Deus; Consultor da COFAC; Presidente do Conselho Científico da EPIS - Associação Empresários pela Inclusão Social","Comissão de Educação, Ciência e Cultura [Suplente]; Comissão de Segurança Social e Trabalho [Presidente]",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4325,2014-11-18T23:07:39.601517
4326,Nilza de Sena,Nome Completo,PSD,True,Mestrado em Ciência Política; Doutoramento em Ciências Sociais na especialidade de Sociologia,Data de Nascimento,Professora Universitária,"Vice-Presidente da Comissão de Educação, Ciência e Cultura; Vice-Presidente da Comissão de Assuntos Económicos, Ciência, Tecnologia e Ambiente da Organização para a Segurança e Cooperação na Europa (OSCE); Membro Efectivo do Conselho Científico do ISCSP; Membro Efectivo do Conselho Pedagógico do ISCSP; Vice-Presidente da Comissão de Educação, Ciência e Cultura; Vice-Presidente da Comissão de Assuntos Económicos, Ciência, Tecnologia e Ambiente da Organização para a Segurança e Cooperação na Europa (OSCE)",Vice-Presidente da Comissão Política Nacional do ; PSD 2010-2014; Membro Efectivo do Conselho Científico do ISCSP 2008-2013; Membro Efectivo do Conselho Pedagógico do ISCSP 2008-2013; Presidente Assembleia Freguesia Santo Condestável; Vice-Presidente da Comissão Política Nacional do ; PSD 2010-2014; Membro Efectivo do Conselho Científico do ISCSP 2008-2013; Membro Efectivo do Conselho Pedagógico do ISCSP 2008-2013; Presidente Assembleia Freguesia Santo Condestável,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias [Suplente]; Comissão de Educação, Ciência e Cultura [Vice-Presidente]; Comissão de Segurança Social e Trabalho [Suplente]; Comissão para a Ética, a Cidadania e a Comunicação [Suplente]; Grupo de Trabalho - Co-adoção [PJL 278/XII/1.ª (PS)]",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4326,2014-11-18T23:07:39.726901
4327,Carlos Abreu Amorim,Nome Completo,PSD,True,Licenciatura em Direito; Mestrado em Direito; Doutoramento em Direito,Data de Nascimento,PROFESSOR UNIVERSITÁRIO,,,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias [Suplente]; Comissão do Ambiente, Ordenamento do Território e Poder Local [Suplente]; Comissão Eventual para a Revisão Constitucional [Suplente]; Comissão Parlamentar de Inquérito à gestão do BES e do Grupo Espírito Santo [Coordenador GP]",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4327,2014-11-18T23:07:39.846280
4328,Maurício Marques,Nome Completo,PSD,True,1º Ciclo; 2º Ciclo; 3º Ciclo; Ensino Secundário; Licenciatura em Engenharia Mecânica (IST),Data de Nascimento,Engenheiro Mecânico,"Vogal de Conselho de Administração;  Nova - Equipav, Engenharia e Contrução, SA; Presidente da Assembleia Geral;  Centro Bem-Estar Social de Figueira de Lorvão (IPSS); Presidente da Assembleia Geral;  Associação de Agricultores e de Melhoramentos do Lugar de Gavinhos; Vogal não executivo do Conselho de Administração; MRG-EQUIPAV, Engenharia e Construção, SA","Presidente da Camara Municipal de Penacova, 1997/2009; Vice-Presidente da Camara Municipal de Penacova, 1989/1997; Administrador da Nova Equipav, Engenharia e Construção, SA, 2010/2011; Director (com competências delegadas da Administação); Equipav, Engenharia e Construção, SA, 2010/2011; Presidente da Direcção da ADESA - Associação de Desenvolvimento da Serra do Açor, 1997/2009; Presidente da Assembleia Geral da Associção dos Agricultores e de Melhoramentos do Lugar de Gavinhos, desde 1997; Membro da Direcção da Associação de Municipios com Centro Histórico, 2001/2009; Presidente da Assembleia Geral do Centro Bem-Estar Social de Figueira de Lorvão (IPSS), desde 1989; Presidente do Conselho Fiscal da ADELO - Associação de Desenvolvimento Local do Baixo Mondego e Gandaras, 2006/2009; Membro do Conselho Geral da Associação de Municipios Portugueses, 2006/2009; Administrador da Penaparque - Empresa Municipal, 1997/2009; Administrador Associação da Associação Intermunicipal dos Municipios da Aguieira, 1997/2009; Técnico Superior da CINCA - Companhia Industrial de Cerâmica, SA, 1988/2009; (c/ licença sem vencimento 1990/2009); Administrador da Associação de Municipios do Baixo Mondego e Gandaras, 1997/2008; Representante dos Municipios na Unidade de Gestão do QCA III (Acessibilidades, Transportes e Ambiente) CCDRCentro, 2002/2007; Presidente da Direcção da ADELO - Associação de Desenvolvimento Local do Baixo Mondego e Gandaras, 2002/2006; Presidente da Direcção da PENSAR - Associação de Desenvolvimento Local de Penacova, 2000/2006; Vice-Presidente do Conselho Fiscal da Associação de Municipios Portugueses, 2002/2005; Administrador da AIRC - Associação Informática da Região Centro, 2001/2005; Administrador da SONOL - Sociedade Nacional de Oleos, SA, 1978/1986; Presidente da Direcção da Associação de Agricultores e de Melhoramentos do Lugar de Gavinhos, 1986/1997; Representante do Curso de Engenharia Mecânica no Conselho Pedagógico do IST, 1982/1885","Comissão de Agricultura e Mar [Suplente]; Comissão do Ambiente, Ordenamento do Território e Poder Local",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4328,2014-11-18T23:07:39.984282
4329,Rosa Arezes,Nome Completo,PSD,True,Licenciatura em Humanidades,Data de Nascimento,"Professora do Ensino Básico e Secundário, Escola EB/S Diogo Bernardes, Ponte da Barca","Deputada da Assembleia Municipal de Ponte da Barca; Deputada da Assembleia Intermunicipal Minho Lima; Secretária-Geral do PSD Alto Minho; Coordenadora do Gabinete de Comunicação do PSD Alto Minho; Secretária da Direcção do Grupo de Estudo e Investigação das Ciências Experimentais -GEICE- (Viana do Castelo); Membro da Comissão de Protecção de Crianças e Jovens ( Ponte da Barca); Colaboradora do Jornal ""Diário do Minho""; Colaboradora do Jornal ""Notícias da Barca""; Presidente da Comissão Política Concelhia de Ponte da Barca",Presidente da Mesa do Plenário do PSD (2008-2010); Membro do Conselho Municipal da Educação - Ponte da Barca; Formadora (CEFOSAP); Jornalista/Repórter Rádio Renascença Voz do Minho; Colaboradora da Rádio Barca; Orientadora de Estágio do Curso de Português - Inglês da Universidade do Minho; Presidente da Mesa do Plenáro da Comissão Política Concelhia de Ponte da Barca,"Comissão de Educação, Ciência e Cultura [Suplente]; Comissão de Saúde [Suplente]; Comissão para a Ética, a Cidadania e a Comunicação",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4329,2014-11-18T23:07:40.109485
4330,Ana Oliveira,Nome Completo,PSD,False,Licenciatura em Psicologia; Mestrado em Psicologia Clinica e Psicoterapia,Data de Nascimento,Técnica Superior,Deputada da Assembleia Municipal da Figueira da Foz,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4330,2014-11-18T23:07:40.228643
4336,Elsa Cordeiro,Nome Completo,PSD,True,Licenciatura em Gestão Economica-financeira,Data de Nascimento,Gerente Bancaria,,,"Comissão de Orçamento, Finanças e Administração Pública; Comissão de Saúde; Comissão Parlamentar de Inquérito aos Programas Relativos à Aquisição de Equipamentos Militares (EH-101, P-3 Orion, C-295, torpedos, F-16, submarinos, Pandur II); Grupo de Trabalho - Relatório CPIPRAEM; Grupo de Trabalho - Álcool e Toxicodependência",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4336,2014-11-18T23:07:40.479430
4338,Sandra Pontedeira,Nome Completo,PS,True,Licenciatura em Educação de Infância; Master em Administração Pública,Data de Nascimento,Educadora de Infância,,,"Comissão de Educação, Ciência e Cultura [Suplente]; Comissão para a Ética, a Cidadania e a Comunicação; Grupo de Trabalho - Indisciplina em meio escolar",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4338,2014-11-18T23:07:40.700364
4350,Laura Esperança,Nome Completo,PSD,True,Licenciatura em Relações Humanas e Comunicação Organizacional,Data de Nascimento,Administradora,,,Comissão de Saúde; Comissão de Segurança Social e Trabalho [Suplente]; Grupo de Trabalho - Álcool e Toxicodependência,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4350,2014-11-18T23:07:41.113720
4351,Valter Ribeiro,Nome Completo,PSD,True,Licenciatura em Gestão e Administração de Empresas,Data de Nascimento,,,,Comissão de Economia e Obras Públicas; Comissão de Agricultura e Mar [Suplente]; Grupo de Trabalho - Setor Automóvel,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4351,2014-11-18T23:07:41.233563
4353,Fialho Isaac,Nome Completo,CDS-PP,True,,Data de Nascimento,Empresário,,,Comissão de Defesa Nacional [Suplente]; Comissão de Agricultura e Mar,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4353,2014-11-18T23:07:41.379215
4354,Maria João Ávila,Nome Completo,PSD,True,Licenciatura em Marketing e Relacoes Publicas,Data de Nascimento,Gestora - Relacoes Publicas,,,"Comissão de Negócios Estrangeiros e Comunidades Portuguesas; Comissão de Educação, Ciência e Cultura [Suplente]",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4354,2014-11-18T23:07:41.497046
